,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
94,940.0,115.38846153846154,0.1,0.001,2.7887767484236377,9.629195824339309e-06,4.568373445367706e-08,5.4776027733381e-06,3.0108403925960907e-05,0.9998904539451405,0.999398013188292,1277550.046885935,7.5597009987737005,7.5597009987737005
95,950.0,115.50961538461539,0.1,0.001,2.788872047660839,9.662288038723962e-06,4.675628312969665e-08,5.599602018533641e-06,3.031462733815072e-05,0.9998880142305038,0.9993938912114242,1277394.2253460046,7.655780600031051,7.655780600031051
96,960.0,115.63076923076923,0.1,0.001,2.7889673468473055,9.695493980088394e-06,4.785168571127714e-08,5.724178705980817e-06,3.052354533690677e-05,0.9998855229788747,0.9993897153927138,1277234.9568949158,7.75252938403412,7.75252938403412
97,970.0,115.75192307692308,0.1,0.001,2.7890626459830434,9.728814039276219e-06,4.8970377312345575e-08,5.851381870457109e-06,3.073564425167262e-05,0.9998829792100578,0.9993854760122243,1277072.1697663437,7.849956838342993,7.849956838342993
98,980.0,115.87307692307692,0.1,0.001,2.789157945068057,9.762248608474192e-06,5.011280028445731e-08,5.981260961043674e-06,3.095058993252097e-05,0.9998803819355904,0.9993811797496275,1276905.790884677,7.948071369843848,7.948071369843848
99,990.0,115.99423076923077,0.1,0.001,2.7892532441023516,9.795798081216946e-06,5.127940431833969e-08,6.1138667349532024e-06,3.1168323483166025e-05,0.9998777301408696,0.9993768277828489,1276735.7458315769,8.046881177170832,8.046881177170832
100,1000.0,116.11538461538461,0.1,0.001,2.7893485430859317,9.829462852391556e-06,5.2470646546564705e-08,6.249250902137945e-06,3.138958189314138e-05,0.9998750227922593,0.9993724053820762,1276561.958822547,8.146396772134235,8.146396772134235
101,1010.0,116.23653846153846,0.1,0.001,2.7894438420188012,9.863243318242221e-06,5.368699164735844e-08,6.387465362700206e-06,3.161376492050741e-05,0.9998722588523413,0.9993679245454954,1276384.3527048328,8.246626739573516,8.246626739573516
102,1020.0,116.3576923076923,0.1,0.001,2.789539140900966,9.897139876374859e-06,5.492891194955238e-08,6.52856347376534e-06,3.184107203272708e-05,0.9998694372545819,0.999363381287083,1276202.8489202186,8.347580272620458,8.347580272620458
103,1030.0,116.47884615384615,0.1,0.001,2.789634439732431,9.931152925761915e-06,5.6196887538691716e-08,6.672599248079993e-06,3.207169616706083e-05,0.9998665569193584,0.9993587717514198,1276017.3674902436,8.449267150714032,8.449267150714032
104,1040.0,116.6,0.1,0.001,2.7897297385132007,9.965282866746894e-06,5.749140636430308e-08,6.819627468519914e-06,3.2305566284557756e-05,0.9998636167516705,0.9993540973592845,1275827.826998372,8.551696901745693,8.551696901745693
105,1050.0,116.72115384615384,0.1,0.001,2.7898250372432796,9.999530101049235e-06,5.881296434833207e-08,6.969703779421532e-06,3.254286801079144e-05,0.9998606156393143,0.9993493544014911,1275634.1445697627,8.654879614912542,8.654879614912542
106,1060.0,116.84230769230768,0.1,0.001,2.7899203359226727,1.0033895031768952e-05,6.016206549476297e-08,7.122885152310794e-06,3.278352682732257e-05,0.9998575524435706,0.9993445443684082,1275436.2358382517,8.758825114944441,8.758825114944441
107,1070.0,116.96346153846153,0.1,0.001,2.790015634551385,1.0068378063391334e-05,6.1539222000422e-08,7.279229314837507e-06,3.302746934864844e-05,0.9998544260106249,0.9993396687277455,1275234.0149293563,8.8635429651967,8.8635429651967
108,1080.0,117.08461538461539,0.1,0.001,2.790110933129422,1.0102979601791854e-05,6.294495436698072e-08,7.438794429691004e-06,3.327512332252142e-05,0.9998512351779899,0.9993347189311997,1275027.3944523595,8.969044055127066,8.969044055127066
109,1090.0,117.20576923076923,0.1,0.001,2.7902062316567875,1.0137700054240767e-05,6.437979151416112e-08,7.601640102066866e-06,3.352640650139928e-05,0.9998479787543595,0.9993296966237212,1274816.2854645653,9.075338981797435,9.075338981797435
110,1100.0,117.32692307692308,0.1,0.001,2.7903015301334864,1.0172539829408048e-05,6.584427089415748e-08,7.767826982011691e-06,3.378123789739046e-05,0.9998446555275621,0.9993246034250673,1274600.5974467802,9.1824380533324,9.1824380533324
111,1110.0,117.44807692307693,0.1,0.001,2.7903968285595235,1.0207499337368155e-05,6.733893860727809e-08,7.937416226844529e-06,3.403978218866098e-05,0.9998412642753116,0.9993194360450005,1274380.2382938992,9.290352066762408,9.290352066762408
112,1120.0,117.56923076923077,0.1,0.001,2.790492126934905,1.024257898960479e-05,6.886434951881923e-08,8.110470410022044e-06,3.4301955419643976e-05,0.9998378037470343,0.9993141961626315,1274155.114280436,9.399091518713078,9.399091518713078
113,1130.0,117.69038461538462,0.1,0.001,2.7905874252596337,1.0277779199015872e-05,7.042106737717837e-08,8.28705294702912e-06,3.456815628734326e-05,0.99983427267535,0.9993088758106718,1273925.1300421886,9.508668133914567,9.508668133914567
114,1140.0,117.81153846153846,0.1,0.001,2.790682723533715,1.031310037991825e-05,7.200966493321707e-08,8.467228079963353e-06,3.4838053699409124e-05,0.9998306697763817,0.9993034816076419,1273690.1885585238,9.619092550626197,9.619092550626197
115,1150.0,117.9326923076923,0.1,0.001,2.790778021757155,1.034854294805271e-05,7.36307240608799e-08,8.651061505180347e-06,3.511227312638185e-05,0.9998269937372062,0.9992980010541087,1273450.191117453,9.730377351132507,9.730377351132507
116,1160.0,118.05384615384615,0.1,0.001,2.7908733199299567,1.03841073205888e-05,7.528483587907906e-08,8.838619636967674e-06,3.539024402254872e-05,0.9998232432305795,0.9992924455543336,1273205.03730135,9.842533269653812,9.842533269653812
117,1170.0,118.175,0.1,0.001,2.7909686180521267,1.0419793916129772e-05,7.697260087485672e-08,9.029969886577382e-06,3.567234505792202e-05,0.9998194169093579,0.9992868075415678,1272954.624965145,9.955572200222733,9.955572200222733
118,1180.0,118.29615384615384,0.1,0.001,2.7910639161236688,1.0455603154717426e-05,7.869462902782733e-08,9.225180896649931e-06,3.595871035427673e-05,0.9998155134018127,0.9992810843367015,1272698.8502082431,10.069506419327714,10.069506419327714
119,1190.0,118.41730769230769,0.1,0.001,2.7911592141445873,1.0491535457837202e-05,8.045153993591432e-08,9.424322286845252e-06,3.624923885007091e-05,0.9998115313167172,0.9992752779609645,1272437.6073537325,10.184347839469911,10.184347839469911
120,1200.0,118.53846153846153,0.1,0.001,2.791254512114888,1.052759124842298e-05,8.224396294238845e-08,9.627464857990808e-06,3.654405887288694e-05,0.9998074692392663,0.9992693858511307,1272170.788922177,10.300108734774732,10.300108734774732
121,1210.0,118.65961538461538,0.1,0.001,2.791349810034575,1.0563770950862192e-05,8.407253726421516e-08,9.8346806164125e-06,3.6843518943990576e-05,0.999803325730592,0.999263401043426,1271898.2856049878,10.416802436096546,10.416802436096546
122,1220.0,118.78076923076924,0.1,0.001,2.791445107903654,1.0600074991000763e-05,8.593791212172259e-08,1.0046042362638164e-05,3.7147058999013264e-05,0.9997990993359889,0.999257334732485,1271619.986249453,10.53444045229191,10.53444045229191
123,1230.0,118.90192307692308,0.1,0.001,2.791540405722129,1.0636503796148065e-05,8.784074686959275e-08,1.0261624417209128e-05,3.7455468181543216e-05,0.9997947885704023,0.9992511711487393,1271335.7778239236,10.653036741628565,10.653036741628565
124,1240.0,119.02307692307693,0.1,0.001,2.791635703490005,1.0673057795082076e-05,8.978171112919783e-08,1.048150190211869e-05,3.7768186727676624e-05,0.9997903919327987,0.9992449214808139,1271045.5454031888,10.772603438107494,10.772603438107494
125,1250.0,119.14423076923077,0.1,0.001,2.7917310012072876,1.0709737418054281e-05,9.176148492227355e-08,1.070575141336286e-05,3.8085763710217935e-05,0.9997859078927195,0.99923857475723,1270749.1721355098,10.893154361119008,10.893154361119008
126,1260.0,119.26538461538462,0.1,0.001,2.7918262988739797,1.0746543096794865e-05,9.378075880595082e-08,1.0934450569109094e-05,3.840807861349366e-05,0.9997813348993166,0.9992321333883001,1270446.539222466,11.0147028929735,11.0147028929735
127,1270.0,119.38653846153846,0.1,0.001,2.791921596490088,1.0783475264517721e-05,9.584023400915187e-08,1.1167678230801463e-05,3.873544265414726e-05,0.9997766713769344,0.9992255911563422,1270137.5258929904,11.137263343409385,11.137263343409385
128,1280.0,119.50769230769231,0.1,0.001,2.792016894055617,1.0820534355925593e-05,9.794062257035569e-08,1.1405514314954905e-05,3.906730306971553e-05,0.9997719157288741,0.9992189591099528,1269822.0093829262,11.26084821478767,11.26084821478767
129,1290.0,119.62884615384615,0.1,0.001,2.792112191570571,1.0857720807215096e-05,1.0008264747674703e-07,1.1648040220123651e-05,3.940460175198025e-05,0.9997670663288587,0.9992122184279251,1269499.864903107,11.385472928442974,11.385472928442974
130,1300.0,119.75,0.1,0.001,2.7922074890349546,1.0895035056082008e-05,1.0226704280475301e-07,1.1895338360556105e-05,3.974678169537001e-05,0.9997621215303597,0.9992053802437173,1269170.9656206784,11.511151080257646,11.511151080257646
131,1310.0,119.87115384615385,0.1,0.001,2.7923027864487726,1.0932477541726255e-05,1.0449455386198145e-07,1.2147492670976495e-05,4.0094132857682856e-05,0.9997570796565063,0.9991984387648243,1268835.182626809,11.637897118734001,11.637897118734001
132,1320.0,119.99230769230769,0.1,0.001,2.792398083812031,1.0970048704857215e-05,1.0676593733056604e-07,1.2404588015726983e-05,4.044672766758694e-05,0.9997519390119014,0.9991913925459974,1268492.3849211102,11.76572565427926,11.76572565427926
133,1330.0,120.11346153846154,0.1,0.001,2.792493381124734,1.1007748987698842e-05,1.0908196141192642e-07,1.266671099063029e-05,4.080483790073761e-05,0.9997466978665913,0.9991842361583743,1268142.439374261,11.894652086440416,11.894652086440416
134,1340.0,120.23461538461538,0.1,0.001,2.7925886783868856,1.1045578833994894e-05,1.1144340597295645e-07,1.2933949199429664e-05,4.116831962660259e-05,0.999741354470535,0.9991769724805641,1267785.2107110324,12.024691287906998,12.024691287906998
135,1350.0,120.35576923076923,0.1,0.001,2.792683975598491,1.1083538689014076e-05,1.1385106269364745e-07,1.3206391456949035e-05,4.1537232090105264e-05,0.9997359070495452,0.9991696003309931,1267420.561488084,12.155858245058585,12.155858245058585
136,1360.0,120.47692307692307,0.1,0.001,2.7927792727595557,1.1121628999555441e-05,1.163057352161517e-07,1.3484128164471569e-05,4.191182882361209e-05,0.9997303537977843,0.9991621146456642,1267048.3520618184,12.288168668637164,12.288168668637164
137,1370.0,120.59807692307692,0.1,0.001,2.792874569870084,1.1159850213953468e-05,1.1880823929530395e-07,1.3767251114813934e-05,4.229215546823064e-05,0.9997246928816654,0.9991545145150798,1266668.4405620536,12.42163833419849,12.42163833419849
138,1380.0,120.71923076923076,0.1,0.001,2.792969866930081,1.1198202782083478e-05,1.2135940295059773e-07,1.4055853406695304e-05,4.2678253742490094e-05,0.9997189224415667,0.9991467991081934,1266280.6828685028,12.556283067466149,12.556283067466149
139,1390.0,120.84038461538461,0.1,0.001,2.7930651639395507,1.1236687155366901e-05,1.2396006661963918e-07,1.4350029355842293e-05,4.307035469049111e-05,0.9997130405936119,0.9991389638107733,1265884.932590165,12.692119338699877,12.692119338699877
140,1400.0,120.96153846153845,0.1,0.001,2.7931604608984983,1.1275303786776477e-05,1.2661108331307527e-07,1.4649874884189092e-05,4.346848723490869e-05,0.9997070454218911,0.99913100804769,1265481.0410344508,12.829163621871123,12.829163621871123
141,1410.0,121.0826923076923,0.1,0.001,2.793255757806929,1.1314053130841786e-05,1.293133187710117e-07,1.4955487283705528e-05,4.387267676882625e-05,0.9997009349831861,0.999122931314406,1265068.857183315,12.967432381219385,12.967432381219385
142,1420.0,121.20384615384616,0.1,0.001,2.7933510546648477,1.1352935643654382e-05,1.3206765162093078e-07,1.526696527070898e-05,4.428294527975277e-05,0.9996947073058873,0.9991147331744952,1264648.2276684034,13.1069420582004,13.1069420582004
143,1430.0,121.325,0.1,0.001,2.7934463514722587,1.139195178287335e-05,1.3487497353711077e-07,1.5584409200450016e-05,4.469968365631524e-05,0.9996883603857067,0.9991064058201604,1264218.9967408043,13.247710230005286,13.247710230005286
144,1440.0,121.44615384615385,0.1,0.001,2.793541648229167,1.143110200773058e-05,1.3773618940156705e-07,1.5907920533412106e-05,4.512271263828384e-05,0.9996818921963517,0.9990979528366044,1263781.0062560467,13.389753810106967,13.389753810106967
145,1450.0,121.5673076923077,0.1,0.001,2.7936369449355776,1.1470386779036232e-05,1.4065221746651012e-07,1.6237602651853477e-05,4.555222218491482e-05,0.9996753006732031,0.9990893704312915,1263334.0956371643,13.533090208655855,13.533090208655855
146,1460.0,121.68846153846154,0.1,0.001,2.7937322415914942,1.1509806559184058e-05,1.4362398951834147e-07,1.6573560205542134e-05,4.598857334746312e-05,0.9996685837263992,0.9990806513931716,1262878.101856356,13.677737865940735,13.677737865940735
147,1470.0,121.80961538461538,0.1,0.001,2.793827538196923,1.1549361812157011e-05,1.4665245104319395e-07,1.6915899435485597e-05,4.643139408974472e-05,0.9996617392343676,0.9990718031596405,1262412.8594083253,13.823713943252498,13.823713943252498
148,1480.0,121.93076923076923,0.1,0.001,2.7939228347518683,1.1589053003532524e-05,1.4973856139401462e-07,1.7264728118899777e-05,4.688121081226499e-05,0.9996547650449286,0.9990628152159886,1261938.2002857483,13.971037145424477,13.971037145424477
149,1490.0,122.05192307692307,0.1,0.001,2.7940181312563346,1.1628880600488153e-05,1.5288329395921964e-07,1.762015558559137e-05,4.733799980173388e-05,0.9996476589749713,0.9990536880398051,1261453.953954923,14.119725986085571,14.119725986085571
150,1500.0,122.17307692307692,0.1,0.001,2.7941134277103274,1.1668845071806966e-05,1.5608763633290549e-07,1.7982292952367807e-05,4.780156117881459e-05,0.9996404188057723,0.999044425628674,1260959.9473256336,14.2697982326502,14.2697982326502
151,1510.0,122.29423076923077,0.1,0.001,2.79420872411385,1.1708946887883135e-05,1.5935259048664886e-07,1.835125270044525e-05,4.8272561427793146e-05,0.9996330422914468,0.9990350146695355,1260456.0047333,14.421273622284028,14.421273622284028
152,1520.0,122.41538461538461,0.1,0.001,2.7943040204669094,1.1749186520727356e-05,1.6267917294288736e-07,1.872714903922559e-05,4.875078493966308e-05,0.9996255271516815,0.9990254594745668,1259941.9479118285,14.574171087251258,14.574171087251258
153,1530.0,122.53653846153846,0.1,0.001,2.7943993167695087,1.1789564443972583e-05,1.6606841494989956e-07,1.9110097917640753e-05,4.923635912796987e-05,0.9996178710715113,0.9990157575021456,1259417.5959668672,14.728509828921338,14.728509828921338
154,1540.0,122.65769230769232,0.1,0.001,2.794494613021654,1.1830081132879405e-05,1.695213626583876e-07,1.9500216801529423e-05,4.972957047628415e-05,0.9996100717057746,0.9990059030325741,1258882.7653559183,14.88430981128894,14.88430981128894
155,1550.0,122.77884615384616,0.1,0.001,2.7945899092233484,1.1870737064341837e-05,1.730390772996716e-07,1.98976248153622e-05,5.02301940167978e-05,0.9996021266762848,0.9989959005652055,1258337.2698653133,15.041590154383682,15.041590154383682
156,1560.0,122.9,0.1,0.001,2.7946852053745976,1.1911532716892737e-05,1.7662263536551344e-07,2.0302443129469662e-05,5.0738830058188864e-05,0.9995940335640933,0.9989857381104909,1257780.920577365,15.200371714408671,15.200371714408671
157,1570.0,123.02115384615385,0.1,0.001,2.794780501475407,1.1952468570709638e-05,1.8027312878956944e-07,2.0714794265853102e-05,5.125524006266651e-05,0.9995857899233728,0.9989754204391826,1257213.525857364,15.360674451712287,15.360674451712287
