"d [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(DirLHCP) []","dB(DirRHCP) []"
1.727,0.413,-180,299,2.09443768959366,-21.261474343209
1.727,0.413,-180,300,2.17488073830303,-21.2743540156172
1.727,0.413,-180,301,2.2539230366636,-21.3044229113606
1.727,0.413,-180,302,2.3315599795118,-21.3515497284182
1.727,0.413,-180,303,2.40778767604685,-21.4156613031028
1.727,0.413,-180,304,2.48260296064364,-21.4967394261399
1.727,0.413,-180,305,2.55600339460447,-21.5948182322489
1.727,0.413,-180,306,2.62798725957145,-21.7099820807733
1.727,0.413,-180,307,2.69855354333132,-21.8423638452525
1.727,0.413,-180,308,2.76770191874971,-21.9921435253318
1.727,0.413,-180,309,2.8354327165732,-22.1595470837938
1.727,0.413,-180,310,2.9017468928355,-22.3448453929259
1.727,0.413,-180,311,2.96664599159847,-22.5483531453371
1.727,0.413,-180,312,3.0301321037505,-22.7704275409615
1.727,0.413,-180,313,3.09220782257342,-23.0114664991033
1.727,0.413,-180,314,3.15287619677528,-23.2719060545263
1.727,0.413,-180,315,3.21214068166971,-23.5522164693078
1.727,0.413,-180,316,3.27000508916373,-23.8528964127682
1.727,0.413,-180,317,3.32647353719385,-24.174464309808
1.727,0.413,-180,318,3.38155039922651,-24.517445605253
1.727,0.413,-180,319,3.43524025441154,-24.8823542001644
1.727,0.413,-180,320,3.4875478389484,-25.2696656352317
1.727,0.413,-180,321,3.53847799919231,-25.6797786632056
1.727,0.413,-180,322,3.58803564699274,-26.1129605943715
1.727,0.413,-180,323,3.6362257177193,-26.5692701486042
1.727,0.413,-180,324,3.68305313138961,-27.0484494791369
1.727,0.413,-180,325,3.72852275727127,-27.5497746491586
1.727,0.413,-180,326,3.77263938228449,-28.071851549945
1.727,0.413,-180,327,3.81540768348463,-28.6123430965924
1.727,0.413,-180,328,3.85683220485393,-29.1676157867473
1.727,0.413,-180,329,3.89691733858018,-29.7323036543081
1.727,0.413,-180,330,3.93566731094666,-30.298812375351
1.727,0.413,-180,331,3.97308617290308,-30.8568351303151
1.727,0.413,-180,332,4.00917779533183,-31.393031629279
1.727,0.413,-180,333,4.0439458689675,-31.8911231260701
1.727,0.413,-180,334,4.07739390887174,-32.3327298771203
1.727,0.413,-180,335,4.1095252633098,-32.6992170227141
1.727,0.413,-180,336,4.14034312682021,-32.974498821981
1.727,0.413,-180,337,4.16985055721611,-33.1481917853637
1.727,0.413,-180,338,4.19805049620548,-33.2180127074572
1.727,0.413,-180,339,4.22494579326929,-33.1903733230386
1.727,0.413,-180,340,4.25053923239112,-33.0788884000138
1.727,0.413,-180,341,4.27483356119102,-32.9014909392297
1.727,0.413,-180,342,4.29783152197907,-32.6773201146988
1.727,0.413,-180,343,4.31953588421241,-32.4243052041829
1.727,0.413,-180,344,4.33994947781286,-32.1577876490904
1.727,0.413,-180,345,4.35907522678203,-31.8900540295217
1.727,0.413,-180,346,4.37691618253617,-31.6304616078775
1.727,0.413,-180,347,4.39347555637565,-31.385853560109
1.727,0.413,-180,348,4.40875675050345,-31.1610566612897
1.727,0.413,-180,349,4.42276338701334,-30.959348968329
1.727,0.413,-180,350,4.43549933428218,-30.7828506603953
1.727,0.413,-180,351,4.44696873022232,-30.6328279455162
1.727,0.413,-180,352,4.45717600187769,-30.509916809898
1.727,0.413,-180,353,4.46612588088323,-30.4142789454871
1.727,0.413,-180,354,4.47382341434925,-30.3457022227308
1.727,0.413,-180,355,4.48027397078116,-30.3036558639336
1.727,0.413,-180,356,4.48548324069992,-30.2873076751633
1.727,0.413,-180,357,4.48945723168885,-30.2955080771086
1.727,0.413,-180,358,4.49220225765801,-30.3267435968892
1.727,0.413,-180,359,4.49372492218653,-30.3790611909107
1.727,0.413,-180,360,4.49403209587696,-30.4499645811063
