,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
1322,13220.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,4.433028071405313e+134,1.104542870687131e+162,1.104542870687131e+162
1323,13230.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.1386855714960531e+135,3.285124443505951e+162,3.285124443505951e+162
1324,13240.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.9248739458630526e+135,9.770596412076435e+162,9.770596412076435e+162
1325,13250.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,7.512949854935575e+135,2.905964625979257e+163,2.905964625979257e+163
1326,13260.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.9298067734717774e+136,8.642901672824416e+163,8.642901672824416e+163
1327,13270.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,4.956979954406322e+136,2.570566367473887e+164,2.570566367473887e+164
1328,13280.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.2732699773968047e+137,7.645362286562407e+164,7.645362286562407e+164
1329,13290.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,3.2705729098196972e+137,2.2738788320113084e+165,2.2738788320113084e+165
1330,13300.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,8.400926235860623e+137,6.762956088761024e+165,6.762956088761024e+165
1331,13310.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.1578959884512134e+138,2.0114341368864256e+166,2.0114341368864256e+166
1332,13320.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,5.542859163667928e+138,5.982394730842096e+166,5.982394730842096e+166
1333,13330.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.4237612875080484e+139,1.7792800698414342e+167,1.7792800698414342e+167
1334,13340.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,3.657130993141032e+139,5.291923568021246e+167,5.291923568021246e+167
1335,13350.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,9.393855008097422e+139,1.5739205718341132e+168,1.5739205718341132e+168
1336,13360.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.4129437003667633e+140,4.681144643532533e+168,4.681144643532533e+168
1337,13370.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,6.1979850616396385e+140,1.3922630891174923e+169,1.3922630891174923e+169
1338,13380.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.592039582957077e+141,4.140860103515642e+169,4.140860103515642e+169
1339,13390.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,4.089377448469738e+141,1.2315720017943086e+170,1.2315720017943086e+170
1340,13400.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.0504140785866204e+142,3.662933684516133e+170,3.662933684516133e+170
1341,13410.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.6981362087421515e+142,1.0894274275166405e+171,1.0894274275166405e+171
