,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s,delta_path_loss,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K),alpha_s low band,alpha_s high band
267,2670.0,136.34807692307692,0.1,0,2.8052627657147027,1.7432256656048904e-05,6.903836119415998e-16,5.860217416133256e-07,0.9999882796338517,1280755.226203651,25.87013258553558,25.87013258553558,5.860217416133256e-07,4.504485149558405e-05
268,2680.0,136.46923076923076,0.1,0,2.8053580562462885,1.749216544158781e-05,7.213114783411469e-16,5.880243386539135e-07,0.9999882395823811,1280738.8214106774,26.01328023284355,26.01328023284355,5.880243386539135e-07,4.5198967404441897e-05
269,2690.0,136.5903846153846,0.1,0,2.805453346727968,1.7552280114278724e-05,7.535662680335859e-16,5.900344553354963e-07,0.9999881993805212,1280722.3607530347,26.156863831432418,26.156863831432418,5.900344553354963e-07,4.5353476652439975e-05
270,2700.0,136.71153846153845,0.1,0,2.805548637159744,1.7612601381692207e-05,7.872023525413981e-16,5.920520150667216e-07,0.9999881590298035,1280705.8440252629,26.30088423724784,26.30088423724784,5.920520150667216e-07,4.550855801648168e-05
271,2710.0,136.8326923076923,0.1,0,2.8056439275416225,1.7673129953830542e-05,8.222762243372145e-16,5.94076942015007e-07,0.9999881185317449,1280689.2710240334,26.445342278928592,26.445342278928592,5.94076942015007e-07,4.566420566763409e-05
272,2720.0,136.95384615384614,0.1,0,2.805739217873608,1.7733866543135954e-05,8.588465753105177e-16,5.961091611031197e-07,0.9999880778878468,1280672.6415481318,26.59023875800637,26.59023875800637,5.961091611031197e-07,4.5820413835024834e-05
273,2730.0,137.075,0.1,0,2.8058345081557055,1.7794811864499293e-05,8.969743779751347e-16,5.981462442898755e-07,0.9999880371466697,1280655.9554640949,26.735573877646313,26.735573877646313,5.981462442898755e-07,4.597699588530032e-05
274,2740.0,137.19615384615383,0.1,0,2.8059297983879192,1.7855966635268104e-05,9.367229695075445e-16,6.001928334551317e-07,0.9999879962153769,1280639.212508984,26.881348960273133,26.881348960273133,6.001928334551317e-07,4.6134308620318147e-05
275,2750.0,137.31730769230768,0.1,0,2.8060250885702533,1.7917331575255372e-05,9.781581387085233e-16,6.022464939968865e-07,0.9999879551426599,1280622.412487797,27.02756472728878,27.02756472728878,6.022464939968865e-07,4.6292164902422145e-05
276,2760.0,137.43846153846152,0.1,0,2.806120378702714,1.797890740674782e-05,1.0213482159837469e-15,6.043048240929737e-07,0.9999879139765547,1280605.5552725499,27.174221308827384,27.174221308827384,6.043048240929737e-07,4.645038011360472e-05
277,2770.0,137.55961538461537,0.1,0,2.806215668785305,1.8040694854514493e-05,1.0663641664416144e-15,6.063700979932671e-07,0.9999878726715767,1280588.6406718316,27.32131937905253,27.32131937905253,6.063700979932671e-07,4.66091290659258e-05
278,2780.0,137.68076923076922,0.1,0,2.8063109588180315,1.810269464581516e-05,1.1132796862097398e-15,6.084445588749121e-07,0.9999878311828632,1280571.6684316788,27.46886014685093,27.46886014685093,6.084445588749121e-07,4.676858418301484e-05
279,2790.0,137.80192307692306,0.1,0,2.8064062488008976,1.816490751040909e-05,1.162171302074562e-15,6.10525807101088e-07,0.9999877895584061,1280554.638365085,27.61684422956035,27.61684422956035,6.10525807101088e-07,4.6928561014842616e-05
280,2800.0,137.9230769230769,0.1,0,2.806501538733908,1.822733418056339e-05,1.2131184745516203e-15,6.126137734953484e-07,0.9999877477995889,1280537.5502869901,27.7652722189988,27.7652722189988,6.126137734953484e-07,4.7089054244105514e-05
