,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
358,3580.0,147.37307692307692,0.0,0.042,3.0739612000000003,2.756067476522667e-05,0.00023358045251641951,0.02489871198937252,0.02516303752572878,0.6077605907428373,0.6045561355167728,147.257206113363,147.25908612154583,147.25908612154583
359,3590.0,147.49423076923077,0.0,0.042,3.07407145,2.7655405991966393e-05,0.00023692797805826418,0.02524948198407681,0.02552245821592216,0.6035118279693857,0.600225918190379,147.3809183282485,147.38280257766502,147.38280257766502
360,3600.0,147.6153846153846,0.0,0.042,3.0741817,2.7750462827763033e-05,0.00024031786486428667,0.02560444968138516,0.025886417742979527,0.5992424567124115,0.5958726228195609,147.50458521886142,147.506474205453,147.506474205453
361,3610.0,147.73653846153846,0.0,0.042,3.0742919500000006,2.7845846391796302e-05,0.0002437505735417128,0.025963651487881434,0.026254965346384856,0.5949529038529362,0.5914966217378403,147.62820761133128,147.63010181757582,147.63010181757582
362,3620.0,147.8576923076923,0.0,0.042,3.0744022,2.794155780709255e-05,0.00024722656881364155,0.026327123809794965,0.026628150705020736,0.5906436076610038,0.5870982984760456,147.75178631382082,147.7536862089699,147.7536862089699
363,3630.0,147.97884615384615,0.0,0.042,3.0745124500000003,2.803759820053832e-05,0.0002507463195467565,0.026694903043124857,0.027006023938138085,0.5863150177681674,0.5826780478147062,147.87532211698257,147.87722815729015,147.87722815729015
364,3640.0,148.1,0.0,0.042,3.0746227,2.8133968702893497e-05,0.00025431029877915235,0.027067025563513307,0.02738863561059724,0.5819675951307723,0.578236275779979,147.99881579441012,148.00072842335794,148.00072842335794
365,3650.0,148.22115384615384,0.0,0.042,3.0747329500000005,2.823067044880443e-05,0.0002579189837482684,0.027443527715866754,0.02777603673324748,0.5776018119838229,0.5737733996903716,148.1222681030811,148.1241877515872,148.1241877515872
366,3660.0,148.34230769230768,0.0,0.042,3.0748432000000006,2.8327704576817607e-05,0.00026157285591893014,0.027824445803726776,0.02816827876861726,0.5732181517851991,0.5692898481352299,148.24567978379025,148.24760687041032,148.24760687041032
367,3670.0,148.46346153846153,0.0,0.042,3.07495345,2.8425072229392948e-05,0.00026527240101150497,0.028209816078391566,0.02856541363146838,0.5688171091500074,0.5647860610061335,148.36905156157175,148.37098649268268,148.37098649268268
